Erreur	Correction	Fréquence	
miniftres	ministres	 
empereurs.	empereurs	 
fotiverains	fotiverains	 
chou-king,	chou-king,	 
que,	que	 
inftruftions	instructions	 
renouvellement-de	renouvellement-de	 
peuple;	peuple	 
soi-même	soi-même	 
dupeupie	duperie	 
lui-même	lui-même	 
l’empire.	l’empire	 
science.	science	 
renouvella	renouvelle	 
efprit	esprit	 
clii-king	clii-king	 
confié:	confié	 
venvam	venom	 
dit:	dit	 
moeurs,	moeurs	 
royaume,	royaume	 
fes	les	 
fuivit	suivit	 
tcheous	thous	 
rois,	rois	 
ans,	ans	 
çc	ça	 
yen-vam	yen-vam	 
de-	de	 
hev-eié	hev-eié	 
foutient	foutent	 
nouveau,	nouveau	 
«	a	 
jufqu’à	jusquà	 
peuple,	peuple	 
foient	soient	 
î.-j	î.-j	 
ï.a	la	 
science.	science	 
périal.	péril	 
imk	ima	 
«	a	 
l’accompagne.	l’accompagne	 
dévoient	dévorent	 
soi-même	soi-même	 
princes,	princes	 
peuple,	peuple	 
croyoient	croyaient	 
fixerdans	fixerons	 
troifîeme	troisieme	 
perfection.	perfection	 
l’empereur-	l’empereur	 
la.	la	 
«	a	 
chi-king	thinking	 
eft.	eft	 
dit:	dit	 
puifse	puisse	 
repos:	repose	 
diftrict	district	 
i!	il	 
ftades	stades	 
science,	science	 
’	a	 
»c	c	 
efpace	espace	 
conftamment	constamment	 
paifible«	paisible	 
«	a	 
perfonne	personne	 
ment.	menti	 
