Erreur	Correction	Fréquence	
dupeupie	duperie	1 
renouvella	renouvelle	2 
venvam	venom	1 
clii-king	clii-king	1 
fuivit	suivit	1 
efprit	esprit	1 
fes	les	1 
jufqu’à	jusquà	1 
tcheous	thous	1 
yen-vam	yen-vam	1 
hev-eié	hev-eié	1 
«	a	2 
foient	soient	1 
de-	de	1 
çc	ça	1 
foutient	foutent	1 
î-j	île	1 
ïa	la	1 
imk	ima	1 
périal	péril	1 
«	a	1 
soi-même	soi-même	1 
dévoient	dévorent	1 
croyoient	croyaient	1 
troifîeme	troisieme	1 
fixerdans	fixerons	1 
chi-king	thinking	1 
«	a	2 
puifse	puisse	1 
diftrict	district	1 
l’empereur-	l’empereur	1 
ftades	stades	1 
perfonne	personne	1 
conftamment	constamment	1 
«	a	2 
’	a	1 
»c	c	1 
paifible«	paisible	1 
efpace	espace	1 
truire	truie	1 
clii-king	clii-king	1 
«	a	1 
jaunâ«	jaune	1 
favent	savent	1 
conf«	confi	1 
efearpés	efearpés	1 
